Date,Open,High,Low,Close,Adj Close,Volume
2018-07-11,13.22,13.31,13.1,13.27,13.111803,15709539
2018-07-12,13.22,13.33,13.04,13.05,12.894425,21098442
2018-07-13,13.03,13.12,12.8,12.86,12.70669,30204780
2018-07-16,12.8,12.8,12.5,12.63,12.479432,18516549
2018-07-17,12.65,12.7,12.41,12.58,12.430028,30742912
2018-07-18,12.55,12.87,12.52,12.82,12.667167,17564815
2018-07-19,12.78,12.96,12.72,12.78,12.627644,22455050
2018-07-20,12.75,13.03,12.15,12.73,12.578239,17766848
2018-07-23,12.76,12.89,12.5,12.72,12.568359,16150464
2018-07-24,12.78,13.3,12.74,13.17,13.012995,37817389
2018-07-25,13.24,13.44,13.02,13.23,13.072279,36435912
2018-07-26,13.37,14.1,13.3,13.82,13.655245,55573516
2018-07-27,13.8,14.06,13.73,13.93,13.763934,30108408
2018-07-30,13.89,14.07,13.79,14.01,13.84298,24264019
2018-07-31,14.01,14.1,13.82,13.89,13.724411,27274939
2018-08-01,13.86,14.03,13.73,13.9,13.734291,18949403
2018-08-02,13.84,13.84,13.6,13.78,13.615722,14054557
2018-08-03,13.8,13.9,13.66,13.88,13.71453,14792549
2018-08-06,13.9,14.05,13.86,13.93,13.763934,14199091
2018-08-07,14,14.09,13.75,13.77,13.605842,26727228
2018-08-08,13.8,13.81,13.65,13.79,13.625603,16339302
2018-08-09,13.83,13.83,13.26,13.28,13.121683,27638647
2018-08-10,13.21,13.34,13.04,13.28,13.121683,77455533
2018-08-13,13.34,13.34,13.1,13.18,13.022876,20810340
2018-08-14,13.2,13.47,13.12,13.42,13.260014,26843049
2018-08-15,13.35,13.35,12.91,13.12,12.963591,38160812
2018-08-16,13.16,13.16,12.51,12.59,12.439909,50269622
2018-08-17,12.6,12.79,12.57,12.75,12.598001,32329039
2018-08-20,12.75,12.86,12.51,12.77,12.617764,14860302
2018-08-21,12.83,13.24,12.78,13.19,13.032756,31740397
2018-08-22,13.11,13.45,13,13.39,13.230371,29778641
2018-08-23,13.39,13.52,13.25,13.3,13.141445,21212714
2018-08-24,13.3,13.42,13.14,13.27,13.111803,9537745
2018-08-27,13.32,13.88,13.23,13.83,13.665126,27309841
2018-08-28,13.9,13.98,13.5,13.56,13.398345,37256448
2018-08-29,13.54,13.83,13.54,13.78,13.615722,21831830
2018-08-30,13.75,13.83,13.5,13.68,13.516914,17419023
2018-08-31,13.63,13.69,13.48,13.53,13.368702,38143170
2018-09-03,13.46,13.63,13.34,13.39,13.230371,3255255
2018-09-04,13.41,13.59,13.25,13.41,13.250133,30382458
2018-09-05,13.39,13.41,13.1,13.13,12.973472,39253016
2018-09-06,13.2,13.35,13.05,13.07,12.914186,20210476
2018-09-07,13.05,13.2,12.87,13.17,13.012995,21840107
2018-09-10,13.22,13.22,12.9,13.11,12.95371,11816668
2018-09-11,13.05,13.2,12.96,13.11,12.95371,14037076
2018-09-12,13.04,13.4,13.04,13.31,13.151326,31256827
2018-09-13,13.3,13.49,13.29,13.34,13.180967,34914349
2018-09-14,13.22,13.5,13.2,13.44,13.279775,18330176
2018-09-17,13.45,13.66,13.33,13.38,13.22049,13477714
2018-09-18,13.33,13.6,13.33,13.58,13.418106,16479515
2018-09-19,13.55,13.75,13.47,13.49,13.329179,18686915
2018-09-20,13.52,13.67,13.42,13.48,13.319298,15715432
2018-09-21,13.47,13.47,13.22,13.28,13.121683,83292081
2018-09-24,13.28,13.32,13.06,13.13,12.973472,18822577
2018-09-25,13.19,13.3,13.12,13.15,12.993233,11227551
2018-09-26,13.15,13.31,13.05,13.07,12.914186,15014598
2018-09-27,13.1,13.35,13.1,13.32,13.161206,17468043
2018-09-28,13.23,13.36,13.01,13.14,12.983353,18345450
2018-10-01,13.21,13.52,13.19,13.36,13.200728,18258135
2018-10-02,13.33,13.44,13.1,13.12,12.963591,14672784
2018-10-03,13.12,13.22,12.95,12.99,12.83514,15776125
2018-10-04,13.02,13.02,12.55,12.66,12.509074,33282030
2018-10-05,12.66,12.66,12.1,12.13,11.985393,47318532
2018-10-08,12.1,12.11,11.85,12.06,11.916227,32036544
2018-10-09,12.05,12.21,11.81,12.18,12.034797,19033251
2018-10-10,12.18,12.18,11.9,11.93,11.787777,33197814
2018-10-11,11.91,12.03,11.55,11.6,11.461711,34588906
2018-10-12,11.79,11.93,11.57,11.77,11.629684,21999680
2018-10-15,11.83,12.1,11.68,11.99,11.847061,20678795
2018-10-16,12.05,12.29,11.92,12.1,11.95575,22379214
2018-10-17,12.09,12.18,11.78,11.83,11.688969,21685674
2018-10-18,11.99,11.99,11.26,11.32,11.185049,48605263
2018-10-19,11.36,11.49,11.24,11.4,11.264095,38761422
2018-10-22,11.42,11.57,11,11.02,10.888626,33495697
2018-10-23,10.86,10.94,10.65,10.76,10.631725,45602338
2018-10-24,10.77,10.88,10.54,10.58,10.453871,44017731
2018-10-25,10.69,11.28,10.33,10.42,10.295778,46097931
2018-10-26,10.38,10.38,9.85,10.24,10.117924,70208675
2018-10-29,10.11,10.41,9.5,9.76,9.643647,84132764
2018-10-30,9.76,10.3,9.64,10.12,9.999354,69520630
2018-10-31,10.21,10.6,10,10.14,10.019116,79243439
2018-11-01,10.2,10.93,10.16,10.88,10.750295,45328710
2018-11-05,10.87,11.22,10.77,10.99,10.858983,55522463
2018-11-06,11.03,11.33,10.86,11.06,10.928149,37702065
2018-11-07,11.14,11.47,11.1,11.22,11.086242,43000818
2018-11-08,11.17,11.24,10.53,10.66,10.532917,51309323
2018-11-09,10.66,10.74,10.02,10.71,10.582321,45562864
2018-11-12,10.76,10.76,10.15,10.24,10.117924,40053116
2018-11-13,10.29,10.46,10.03,10.09,9.969712,36835665
2018-11-14,10.07,10.53,10.03,10.08,9.959831,54815588
2018-11-15,10.03,10.32,9.96,10,9.880785,41639625
2018-11-16,10,10.31,9.98,10.14,10.019116,47565980
2018-11-20,9.95,10.27,9.89,9.94,9.8215,35386806
2018-11-21,9.99,10.2,9.35,9.42,9.3077,71733371
2018-11-22,9.47,9.49,8.94,9.07,8.961872,17356452
2018-11-23,9.23,9.68,9.21,9.51,9.396627,28498371
2018-11-26,9.67,9.89,9.15,9.31,9.199012,60785963
2018-11-27,9.34,9.55,9.21,9.5,9.386746,49108220
2018-11-28,9.61,9.97,9.46,9.94,9.8215,59709251
2018-11-29,10.02,10.52,10.01,10.36,10.236493,57607403
2018-11-30,10.41,10.51,10.15,10.47,10.345182,58340215
2018-12-03,10.62,10.81,10.3,10.47,10.345182,55638369
2018-12-04,10.46,10.68,10,10.03,9.910427,45889968
2018-12-05,10.12,10.17,10.04,10.09,9.969712,6785790
2018-12-06,9.91,10.13,9.75,10.09,9.969712,46664802
2018-12-07,10.14,10.4,10.14,10.19,10.06852,28305068
