Country,Under $1.9,Under $3.2,Under $5.5,Continent
Albania,1.1,7.7,39.1,Europe
Algeria,0.5,3.9,29.2,Africa
Angola,30.1,55.7,79.4,Africa
Argentina,0.4,2,7.1,South America
Armenia,1.4,12.3,50,Europe
Australia,0.7,1,1.2,Oceania
Austria,0.7,0.7,0.9,Europe
Azerbaijan,0,0,8.2,Europe
Bangladesh,14.8,52.9,84.5,Asia
Belarus,0,0,0.8,Europe
Belgium,0,0.2,0.2,Europe
Belize,13.9,28.1,53,North America
Benin,49.5,76.2,90.6,Africa
Bhutan,1.5,12,38.6,Asia
Bolivia,5.8,11.8,24.7,South America
Bosnia and Herzegovina,0.1,0.8,3.9,Europe
Botswana,16.1,38.5,60.4,Africa
Brazil,4.8,9.6,21,South America
Bulgaria,1.5,3.7,8.7,Europe
Burkina Faso,43.7,76.4,92.3,Africa
Burundi,71.8,89.3,96.8,Africa
Cameroon,23.8,44.7,68.9,Africa
Canada,0.5,0.5,1,North America
Cape Verde,8.1,26.5,53.1,Africa
Central African Republic,66.3,83.1,92.8,Africa
Chad,38.4,66.5,86.2,Africa
Chile,0.7,1.8,6.4,South America
China,0.7,7,27.2,Asia
Colombia,3.9,10.8,27.6,South America
Comoros,17.9,37.5,62.7,Africa
"Congo, Democratic Republic of the",76.6,91,97.7,Africa
"Congo, Republic of the",37,61.3,82.4,Africa
Costa Rica,1,2.7,9.7,North America
Croatia,0.7,1.2,5.5,Europe
Cyprus,0,0,0.2,Europe
Czech Republic,0,0,0.4,Europe
Denmark,0.2,0.2,0.5,Europe
Djibouti,17.1,40.2,70.6,Africa
Dominican Republic,1.6,5.9,19.9,North America
East Timor,30.7,73.3,94,Asia
Ecuador,3.2,8.7,23.2,South America
Egypt,1.3,16.1,61.9,Africa
El Salvador,1.9,8.5,29,North America
Estonia,0.5,1,2,Europe
Eswatini,42,64.4,82,Africa
Ethiopia,27.3,62.2,85,Africa
Fiji,1.4,14.1,48.6,Oceania
Finland,0,0,0.2,Europe
France,0,0.2,0.2,Europe
Gabon,3.4,11.2,32.2,Africa
"Gambia, The",10.1,37.8,72.5,Africa
Georgia,5,16.3,43.6,Europe
Germany,0,0,0.2,Europe
Ghana,13.3,30.5,56.9,Africa
Greece,1.5,2.7,6.7,Europe
Guatemala,8.7,24.2,48.8,North America
Guinea,35.3,70.3,92.3,Africa
Guinea-Bissau,67.1,84.5,93.4,Africa
Guyana,14,29.5,56.4,South America
Haiti,25,50.8,78.9,North America
Honduras,17.2,31.6,52.6,North America
Hungary,0.5,1,2.7,Europe
Iceland,0,0,0.2,Europe
India,21.2,60,87.5,Asia
Indonesia,5.7,27.3,58.7,Asia
Iran,0.3,2.5,11.6,Asia
Iraq,2.5,17.9,57.3,Asia
Ireland,0.2,0.5,0.7,Europe
