,0,1,2,3,4,5
0,Country,< $1.90[4],< $3.20[5],< $5.50[6],Year,Continent
1,Afghanistan,,,,,Asia
2,Albania,1.1%,7.7%,39.1%,2012,Europe
3,Algeria,0.5%,3.9%,29.2%,2011,Africa
4,Andorra,,,,,Europe
5,Angola,30.1%,55.7%,79.4%,2008,Africa
6,Antigua and Barbuda,,,,,North America
7,Argentina,0.4%,2.0%,7.1%,2017,South America
8,Armenia,1.4%,12.3%,50.0%,2017,Europe
9,Australia,0.7%,1.0%,1.2%,2014,Oceania
10,Austria,0.7%,0.7%,0.9%,2015,Europe
11,Azerbaijan,0.0%,0.0%,8.2%,2005,Europe
12,"Bahamas, The",,,,,North America
13,Bahrain,,,,,Asia
14,Bangladesh,14.8%,52.9%,84.5%,2016,Asia
15,Barbados,,,,,North America
16,Belarus,0.0%,0.0%,0.8%,2017,Europe
17,Belgium,0.0%,0.2%,0.2%,2015,Europe
18,Belize,13.9%,28.1%,53.0%,1999,North America
19,Benin,49.5%,76.2%,90.6%,2015,Africa
20,Bhutan,1.5%,12.0%,38.6%,2017,Asia
21,Bolivia,5.8%,11.8%,24.7%,2017,South America
22,Bosnia and Herzegovina,0.1%,0.8%,3.9%,2011,Europe
23,Botswana,16.1%,38.5%,60.4%,2015,Africa
24,Brazil,4.8%,9.6%,21.0%,2017,South America
25,Brunei,,,,,Asia
26,Bulgaria,1.5%,3.7%,8.7%,2014,Europe
27,Burkina Faso,43.7%,76.4%,92.3%,2014,Africa
28,Burundi,71.8%,89.3%,96.8%,2013,Africa
29,Cambodia,,,,,Asia
30,Cameroon,23.8%,44.7%,68.9%,2014,Africa
31,Canada,0.5%,0.5%,1.0%,2013,North America
32,Cape Verde,8.1%,26.5%,53.1%,2007,Africa
33,Central African Republic,66.3%,83.1%,92.8%,2008,Africa
34,Chad,38.4%,66.5%,86.2%,2011,Africa
35,Chile,0.7%,1.8%,6.4%,2017,South America
36,China,11.5%,7.0%,27.2%,2015,Asia
37,Colombia,3.9%,10.8%,27.6%,2017,South America
38,Comoros,17.9%,37.5%,62.7%,2013,Africa
39,"Congo, Democratic Republic of the",76.6%,91.0%,97.7%,2012,Africa
40,"Congo, Republic of the",37.0%,61.3%,82.4%,2011,Africa
41,Costa Rica,1.0%,2.7%,9.7%,2017,North America
42,Croatia,0.7%,1.2%,5.5%,2015,Europe
43,Cuba,,,,,North America
44,Cyprus,0.0%,0.0%,0.2%,2015,Europe
45,Czech Republic,0.0%,0.0%,0.4%,2015,Europe
46,Denmark,0.2%,0.2%,0.5%,2015,Europe
47,Djibouti,17.1%,40.2%,70.6%,2017,Africa
48,Dominica,,,,,North America
49,Dominican Republic,1.6%,5.9%,19.9%,2016,North America
50,East Timor,30.7%,73.3%,94.0%,2014,Asia
51,Ecuador,3.2%,8.7%,23.2%,2017,South America
52,Egypt,1.3%,16.1%,61.9%,2015,Africa
53,El Salvador,1.9%,8.5%,29.0%,2017,North America
54,Equatorial Guinea,,,,,Africa
55,Eritrea,,,,,Africa
56,Estonia,0.5%,1.0%,2.0%,2015,Europe
57,Eswatini,42.0%,64.4%,82.0%,2009,Africa
58,Ethiopia,27.3%,62.2%,85.0%,2015,Africa
59,Fiji,1.4%,14.1%,48.6%,2013,Oceania
60,Finland,0.0%,0.0%,0.2%,2015,Europe
61,France,0.0%,0.2%,0.2%,2015,Europe
62,Gabon,3.4%,11.2%,32.2%,2017,Africa
63,"Gambia, The",10.1%,37.8%,72.5%,2015,Africa
64,Georgia,5.0%,16.3%,43.6%,2017,Europe
65,Germany,0.0%,0.0%,0.2%,2015,Europe
66,Ghana,13.3%,30.5%,56.9%,2016,Africa
67,Greece,1.5%,2.7%,6.7%,2015,Europe
68,Grenada,,,,,North America
69,Guatemala,8.7%,24.2%,48.8%,2014,North America
70,Guinea,35.3%,70.3%,92.3%,2012,Africa
71,Guinea-Bissau,67.1%,84.5%,93.4%,2010,Africa
72,Guyana,14.0%,29.5%,56.4%,1998,South America
73,Haiti,25.0%,50.8%,78.9%,2012,North America
74,Honduras,17.2%,31.6%,52.6%,2017,North America
75,Hungary,0.5%,1.0%,2.7%,2015,Europe
76,Iceland,0.0%,0.0%,0.2%,2014,Europe
77,India,21.2%[7],60%,87%,2011,Asia
78,Indonesia,5.7%,27.3%,58.7%,2017,Asia
79,Iran,0.3%,2.5%,11.6%,2016,Asia
80,Iraq,2.5%,17.9%,57.3%,2012,Asia
81,Ireland,0.2%,0.5%,0.7%,2015,Europe
82,Israel,0.2%,0.7%,2.7%,2016,Asia
83,Italy,2.0%,2.5%,3.5%,2015,Europe
84,Ivory Coast,28.2%,57.4%,82.3%,2015,Africa
85,Jamaica,1.7%,9.1%,29.7%,2004,North America
86,Japan,0.2%,0.5%,1.0%,2008,Asia
87,Jordan,0.1%,2.1%,18.1%,2010,Asia
88,Kazakhstan,0.0%,0.4%,8.6%,2017,"Asia, Europe"
89,Kenya,36.8%,66.2%,86.5%,2015,Africa
90,Kiribati,12.9%,34.6%,69.4%,2006,Oceania
